Datum,Zeit,W [cm]
12/5/1993,14:45:00,128
12/5/1993,15:00:00,127
12/5/1993,15:15:00,127
12/5/1993,15:30:00,127
12/5/1993,15:45:00,127
12/5/1993,16:00:00,126
12/5/1993,16:15:00,126
12/5/1993,16:30:00,126
12/5/1993,16:45:00,127
12/5/1993,17:00:00,127
12/5/1993,17:15:00,127
12/5/1993,17:30:00,127
12/5/1993,17:45:00,127
12/5/1993,18:00:00,127
12/5/1993,18:15:00,126
12/5/1993,18:30:00,126
12/5/1993,18:45:00,126
12/5/1993,19:00:00,126
12/5/1993,19:15:00,126
12/5/1993,19:30:00,126
12/5/1993,19:45:00,126
12/5/1993,20:00:00,126
12/5/1993,20:15:00,126
12/5/1993,20:30:00,124
12/5/1993,20:45:00,125
12/5/1993,21:00:00,125
12/5/1993,21:15:00,125
12/5/1993,21:30:00,125
12/5/1993,21:45:00,125
12/5/1993,22:00:00,125
12/5/1993,22:15:00,125
12/5/1993,22:30:00,125
12/5/1993,22:45:00,125
12/5/1993,23:00:00,125
12/5/1993,23:15:00,125
12/5/1993,23:30:00,125
12/5/1993,23:45:00,125
12/6/1993,0:00:00,124
12/6/1993,0:15:00,124
12/6/1993,0:30:00,124
12/6/1993,0:45:00,124
12/6/1993,1:00:00,125
12/6/1993,1:15:00,124
12/6/1993,1:30:00,123
12/6/1993,1:45:00,123
12/6/1993,2:00:00,123
12/6/1993,2:15:00,123
12/6/1993,2:30:00,123
12/6/1993,2:45:00,123
12/6/1993,3:00:00,123
12/6/1993,3:15:00,123
12/6/1993,3:30:00,123
12/6/1993,3:45:00,124
12/6/1993,4:00:00,125
12/6/1993,4:15:00,125
12/6/1993,4:30:00,125
12/6/1993,4:45:00,126
12/6/1993,5:00:00,126
12/6/1993,5:15:00,126
12/6/1993,5:30:00,126
12/6/1993,5:45:00,126
12/6/1993,6:00:00,126
12/6/1993,6:15:00,126
12/6/1993,6:30:00,126
12/6/1993,6:45:00,127
12/6/1993,7:00:00,127
12/6/1993,7:15:00,128
12/6/1993,7:30:00,127
12/6/1993,7:45:00,128
12/6/1993,8:00:00,128
12/6/1993,8:15:00,129
12/6/1993,8:30:00,129
12/6/1993,8:45:00,129
12/6/1993,9:00:00,129
12/6/1993,9:15:00,129
12/6/1993,9:30:00,129
12/6/1993,9:45:00,129
12/6/1993,10:00:00,129
12/6/1993,10:15:00,129
12/6/1993,10:30:00,129
12/6/1993,10:45:00,129
12/6/1993,11:00:00,129
12/6/1993,11:15:00,131
12/6/1993,11:30:00,130
12/6/1993,11:45:00,130
12/6/1993,12:00:00,130
12/6/1993,12:15:00,130
12/6/1993,12:30:00,130
12/6/1993,12:45:00,130
12/6/1993,13:00:00,129
12/6/1993,13:15:00,129
12/6/1993,13:30:00,129
12/6/1993,13:45:00,128
12/6/1993,14:00:00,128
12/6/1993,14:15:00,128
12/6/1993,14:30:00,128
12/6/1993,14:45:00,128
12/6/1993,15:00:00,125
12/6/1993,15:15:00,126
12/6/1993,15:30:00,127
12/6/1993,15:45:00,128
12/6/1993,16:00:00,129
12/6/1993,16:15:00,129
12/6/1993,16:30:00,129
12/6/1993,16:45:00,129
12/6/1993,17:00:00,129
12/6/1993,17:15:00,129
12/6/1993,17:30:00,128
12/6/1993,17:45:00,128
12/6/1993,18:00:00,129
12/6/1993,18:15:00,129
12/6/1993,18:30:00,130
12/6/1993,18:45:00,130
12/6/1993,19:00:00,130
12/6/1993,19:15:00,131
12/6/1993,19:30:00,131
12/6/1993,19:45:00,131
12/6/1993,20:00:00,133
12/6/1993,20:15:00,131
12/6/1993,20:30:00,133
12/6/1993,20:45:00,133
12/6/1993,21:00:00,133
12/6/1993,21:15:00,133
12/6/1993,21:30:00,133
12/6/1993,21:45:00,132
12/6/1993,22:00:00,131
12/6/1993,22:15:00,132
12/6/1993,22:30:00,132
12/6/1993,22:45:00,132
12/6/1993,23:00:00,132
12/6/1993,23:15:00,132
12/6/1993,23:30:00,131
12/6/1993,23:45:00,131
12/7/1993,0:00:00,131
12/7/1993,0:15:00,131
12/7/1993,0:30:00,131
12/7/1993,0:45:00,131
12/7/1993,1:00:00,131
12/7/1993,1:15:00,131
12/7/1993,1:30:00,131
12/7/1993,1:45:00,131
12/7/1993,2:00:00,130
12/7/1993,2:15:00,130
12/7/1993,2:30:00,129
12/7/1993,2:45:00,129
12/7/1993,3:00:00,130
12/7/1993,3:15:00,130
12/7/1993,3:30:00,130
12/7/1993,3:45:00,130
12/7/1993,4:00:00,129
12/7/1993,4:15:00,129
12/7/1993,4:30:00,129
12/7/1993,4:45:00,129
12/7/1993,5:00:00,129
12/7/1993,5:15:00,129
12/7/1993,5:30:00,129
12/7/1993,5:45:00,129
12/7/1993,6:00:00,129
12/7/1993,6:15:00,129
12/7/1993,6:30:00,129
12/7/1993,6:45:00,129
12/7/1993,7:00:00,129
12/7/1993,7:15:00,128
12/7/1993,7:30:00,128
12/7/1993,7:45:00,128
12/7/1993,8:00:00,128
12/7/1993,8:15:00,128
12/7/1993,8:30:00,129
12/7/1993,8:45:00,129
12/7/1993,9:00:00,128
12/7/1993,9:15:00,128
12/7/1993,9:30:00,127
12/7/1993,9:45:00,129
12/7/1993,10:00:00,129
12/7/1993,10:15:00,129
12/7/1993,10:30:00,129
12/7/1993,10:45:00,129
12/7/1993,11:00:00,129
12/7/1993,11:15:00,129
12/7/1993,11:30:00,130
12/7/1993,11:45:00,129
12/7/1993,12:00:00,128
12/7/1993,12:15:00,129
12/7/1993,12:30:00,129
12/7/1993,12:45:00,128
12/7/1993,13:00:00,128
12/7/1993,13:15:00,128
12/7/1993,13:30:00,129
12/7/1993,13:45:00,129
12/7/1993,14:00:00,128
12/7/1993,14:15:00,128
12/7/1993,14:30:00,128
12/7/1993,14:45:00,128
12/7/1993,15:00:00,128
12/7/1993,15:15:00,128
12/7/1993,15:30:00,126
12/7/1993,15:45:00,126
12/7/1993,16:00:00,126
12/7/1993,16:15:00,126
12/7/1993,16:30:00,125
12/7/1993,16:45:00,125
12/7/1993,17:00:00,125
12/7/1993,17:15:00,125
12/7/1993,17:30:00,124
12/7/1993,17:45:00,125
12/7/1993,18:00:00,124
12/7/1993,18:15:00,123
12/7/1993,18:30:00,124
12/7/1993,18:45:00,125
12/7/1993,19:00:00,126
12/7/1993,19:15:00,126
12/7/1993,19:30:00,126
12/7/1993,19:45:00,126
12/7/1993,20:00:00,126
12/7/1993,20:15:00,126
12/7/1993,20:30:00,126
12/7/1993,20:45:00,125
12/7/1993,21:00:00,125
12/7/1993,21:15:00,125
12/7/1993,21:30:00,125
12/7/1993,21:45:00,125
12/7/1993,22:00:00,125
12/7/1993,22:15:00,125
12/7/1993,22:30:00,125
12/7/1993,22:45:00,125
12/7/1993,23:00:00,125
12/7/1993,23:15:00,125
12/7/1993,23:30:00,125
12/7/1993,23:45:00,125
12/8/1993,0:00:00,124
12/8/1993,0:15:00,124
12/8/1993,0:30:00,123
12/8/1993,0:45:00,123
12/8/1993,1:00:00,122
12/8/1993,1:15:00,122
12/8/1993,1:30:00,122
12/8/1993,1:45:00,122
12/8/1993,2:00:00,122
12/8/1993,2:15:00,122
12/8/1993,2:30:00,121
12/8/1993,2:45:00,123
12/8/1993,3:00:00,123
12/8/1993,3:15:00,123
12/8/1993,3:30:00,123
12/8/1993,3:45:00,123
12/8/1993,4:00:00,123
12/8/1993,4:15:00,123
12/8/1993,4:30:00,124
12/8/1993,4:45:00,124
12/8/1993,5:00:00,125
12/8/1993,5:15:00,124
12/8/1993,5:30:00,125
12/8/1993,5:45:00,125
12/8/1993,6:00:00,125
12/8/1993,6:15:00,125
12/8/1993,6:30:00,125
12/8/1993,6:45:00,126
12/8/1993,7:00:00,126
12/8/1993,7:15:00,126
12/8/1993,7:30:00,126
12/8/1993,7:45:00,126
12/8/1993,8:00:00,127
12/8/1993,8:15:00,127
12/8/1993,8:30:00,128
12/8/1993,8:45:00,128
12/8/1993,9:00:00,128
12/8/1993,9:15:00,128
12/8/1993,9:30:00,128
12/8/1993,9:45:00,130
12/8/1993,10:00:00,131
12/8/1993,10:15:00,131
12/8/1993,10:30:00,131
12/8/1993,10:45:00,129
12/8/1993,11:00:00,129
12/8/1993,11:15:00,129
12/8/1993,11:30:00,130
12/8/1993,11:45:00,130
12/8/1993,12:00:00,129
12/8/1993,12:15:00,129
12/8/1993,12:30:00,129
